Pool Name,Status,Open Date,Weekday,Weekend,Closure Days,Pool Type,Phone,Location 1,Website
Baily Splashpad,Closed,,Closed for the season,Closed for the season,None,Splash Pad,512-974-9332,"1201 W 33rd St
Austin, TX
(30.302605251000045, -97.74689354299994)",Bailey Splash Pad (http://www.austintexas.gov/department/bailey-splash-pad)
Lott Splashpad,Closed,,Closed for the season,Closed for the season,None,Splash Pad,512-974-9332,"1180 Curves
Austin, TX
(30.269695108000064, -97.73017088999995)",Lott Splash Pad (http://www.austintexas.gov/department/lott-splash-pad)
Barton Springs,Open,10/01/2024 12:00:00 AM,5:00AM-10:00PM,5:00AM-10:00PM,Thursday,Regional,512-974-6300,"2131 William Barton Dr
Austin, TX
(30.265983430000063, -97.76862557799996)",http://www.austintexas.gov/department/barton-springs-pool
Gillis,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-693-2974,"2410 Durwood Ave
Austin, TX
(30.239795595000032, -97.75878452399996)",Gillis Pool (http://www.austintexas.gov/department/gillis-pool)
Canyon Vista,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-996-8038,"8455 Spicewood Springs
Austin, TX
(30.427132347000054, -97.78468953899994)",Canyon Vista Pool website (http://www.austintexas.gov/department/canyon-vista-pool)
Kennemer,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-821-2454,"200 Dawson Rd
Austin, TX
(30.36075515300007, -97.70649799899996)",Kennemer Pool (http://www.austintexas.gov/department/kennemer-pool)
Dittmar,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-693-4698,"1009 W Dittmar Dr
Austin, TX
(30.185743134000063, -97.80106115899997)",Dittmar Pool (http://www.austintexas.gov/department/dittmar-pool)
Stacy,Open,10/01/2024 12:00:00 AM,6:00AM-8:00PM,12:00PM-7:00PM,None,Neighborhood,512-445-0304,"700 E Live Oak St
Austin, TX
(30.239596177000067, -97.74730836399999)",http://austintexas.gov/department/big-stacy-pool
Dick Nichols,Closed,,Closed for the season,Closed for the season,NA,Community,512-899-0348,"8011 Beckett Rd
Austin, TX
(30.21486475200004, -97.86331548799996)",Dick Nichols Pool (http://www.austintexas.gov/department/dick-nichols-pool)
Montopolis,Closed,,Closed for renovation,Closed for renovation,NA,Neighborhood,512-389-6022,"1200 Montopolis Dr
Austin, TX
(30.231947330000025, -97.69905656299994)",Montopolis Pool (http://www.austintexas.gov/department/montopolis-pool)
Bartholomew Splashpad,Closed,,Closed for the season,Closed for the season,None,Splash Pad,512-974-9332,"5201 Berkman Dr
Austin, TX
(30.305630359000077, -97.69783935199996)",Bartholomew Splash Pad (http://www.austintexas.gov/department/bartholomew-splash-pad)
Metz Splashpad,Closed,,Closed for the season,Closed for the season,None,Splash Pad,512-974-9332,"2407 Canterbury St
Austin, TX
(30.252683793000074, -97.71813028399998)",Metz Splash Pad (http://www.austintexas.gov/department/metz-splash-pad)
Martin,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-469-0948,"1626 Nash Hernandez Sr Dr
Austin, TX
(30.250938086000076, -97.73110151999998)",Martin Pool (http://www.austintexas.gov/department/martin-pool)
Metz,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-391-6212,"2309 Canterbury St
Austin, TX
(30.252683793000074, -97.71813028399998)",Metz Pool (http://www.austintexas.gov/department/metz-pool)
Dove Springs,Closed,,Closed for the season,Closed for the season,NA,Community,512-444-6136,"5801 Ainez Dr
Austin, TX
(30.18812383100004, -97.73920481399995)",Dove Springs Pool (http://www.austintexas.gov/department/dove-springs-pool)
Reed,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-542-9782,"2614 Pecos St
Austin, TX
(30.303090361000045, -97.77087252699994)",Reed Pool (http://www.austintexas.gov/department/reed-pool)
Bartholomew,Open,10/01/2024 12:00:00 AM,12:15PM-8:00PM,12:00PM-7:00PM,None,Regional,512-974-1650,"1800 E 51st St
Austin, TX
(30.302395535000073, -97.69739842999996)",http://www.austintexas.gov/department/bartholomew-pool
Springwoods,Open,10/01/2024 12:00:00 AM,3:00PM-8:00PM,12:00PM-7:00PM,None,Regional,512-996-8978,"13320 Lyndhurst St
Austin, TX 78729
(30.466694790000076, -97.78281477599995)",http://austintexas.gov/department/springwoods-pool
West Austin,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-236-1303,"1317 W 10th St
Austin, TX
(30.27739562900007, -97.75705321199996)",West Austin Pool (http://www.austintexas.gov/department/west-austin-pool)
Chestnut Splashpad,Closed,,Closed for the season,Closed for the season,None,Splash Pad,512-974-9332,"2205 E 16th St
Austin, TX
(30.27750823100007, -97.73795600299997)",Chestnut Splash Pad (http://www.austintexas.gov/department/chestnut-splash-pad)
Ramsey,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-380-9131,"4201 Burnet Rd
Austin, TX
(30.31187897700005, -97.74379847899996)",http://www.austintexas.gov/department/ramsey-pool
Shipe,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-380-9124,"4400 Ave
G Austin, TX
(30.306847952000055, -97.72711577799998)",Shipe Pool (http://www.austintexas.gov/department/shipe-pool)
Pease Splashpad,Operated by Pease Park Conservancy,,,,,Splash Pad,512-974-9332,"1100 Kingsbury St
Austin, TX
(30.28291173100007, -97.75437819199999)",Pease Splash Pad (http://www.austintexas.gov/department/pease-splash-pad)
Mabel Davis,Closed,,Closed for the season,Closed for the season,NA,Regional,512-441-5247,"3427 Parker Lane
Austin, TX
(30.22025858300003, -97.74271075999997)",Mabel Davis (http://www.austintexas.gov/department/mabel-davis-pool)
Rosewood,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-473-8469,"2300 Rosewood Ave
Austin, TX
(30.271339, -97.713836)",Rosewood Pool (http://www.austintexas.gov/department/rosewood-pool)
Colony Park,Closed,,Opening Soon,Opening Soon,NA,Regional,,"7400 Loyola Lane
(30.29625, -97.63809)",Colony Park (https://www.austintexas.gov/department/colony-park-pool)
Govalle,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-974-1255,"5200 Bolm Rd
Austin, TX
(30.258835826000052, -97.69156788399994)",Govalle Pool (http://www.austintexas.gov/department/govalle-pool)
Liz Carpenter Splashpad,Open,10/01/2024 12:00:00 AM,9:00AM-10:00PM,9:00AM-10:00PM,None,Splash Pad,512-974-9332,"200 Dawson Rd
Austin, TX
(30.260196671000074, -97.75523145399995)",http://austintexas.gov/department/liz-carpenter-fountain
Ricky Guerrero Splashpad,Closed,,Closed for the season,Closed for the season,None,Splash Pad,512-974-9332,"1100 Brodie Street
Austin, TX
(30.246923898000034, -97.76367140099995)",Ricky Guerrero Splash Pad (http://www.austintexas.gov/department/ricky-guerrero-splash-pad)
Parque Zaragoza,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-320-0160,"2611 Webberville Rd
Austin, TX
(30.262200781000047, -97.71307661199995)",Parque Zaragoza Pool (http://www.austintexas.gov/department/parque-zaragoza-pool)
Clarksville Splashpad,Closed,,Closed for the season,Closed for the season,None,Splash Pad,512-974-9332,"1811 W 11th St
Austin, TX
(30.282105005000062, -97.76410287199997)",Clarksville Splash Pad (http://www.austintexas.gov/department/clarksville-splash-pad)
Westenfield,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-474-2682,"2000 Enfield Rd
Austin, TX
(30.286483287000067, -97.76496863899996)",Westenfield website (http://www.austintexas.gov/department/westenfield-pool)
Walnut Creek,Closed,,Closed for the season,Closed for the season,NA,Regional,512-834-0824,"12138 N Lamar Blvd
Austin, TX
(30.398443986000075, -97.67950234099999)",http://www.austintexas.gov/department/walnut-creek-pool
Northwest,Closed,,Closed for renovation,Closed for renovation,NA,Regional,512-453-0194,"7000 Ardath St
Austin, TX
(30.348728787000027, -97.73985425299998)",Northwest Pool (http://www.austintexas.gov/department/northwest-pool)
Patterson,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-542-9685,"4200 Brookview Dr
Austin, TX
(30.296592644000043, -97.71400165799997)",Patterson Pool (http://www.austintexas.gov/department/patterson-pool)
Deep Eddy,Open,10/01/2024 12:00:00 AM,9:00AM-7:30PM,10:00AM-7:00PM,First Tuesday of the Month,Regional,512-472-8546,"401 Deep Eddy Ave
Austin, TX
(30.277590365000037, -97.77288902099997)",http://www.austintexas.gov/department/deep-eddy-pool
Givens,Closed,,Closed for renovation,Closed for renovation,NA,Community,512-928-2657,"3811 E 12th St
Austin, TX
(30.27832090800007, -97.69072592299995)",Givens Pool (http://www.austintexas.gov/department/givens-pool)
Stacy Wading,Closed,,Closed for the season,Closed for the season,NA,Wading,512-693-2174,"1401 Sunset Lane
Austin, TX
(30.241312486000027, -97.74557365799996)",Little Stacy Wading Pool (http://www.austintexas.gov/department/little-stacy-wading-pool)
Dottie Jordan,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-928-3721,"2803 Loyola Ln
Austin, TX
(30.314319348000026, -97.67341137899996)",Dottie Jordan Pool (http://www.austintexas.gov/department/dottie-jordan-pool)
Brentwood,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-453-1725,"6710 Arroyo
Seco Austin, TX
(30.340441576000046, -97.73037097399998)",Brentwood Pool (http://www.austintexas.gov/department/brentwood-pool)
Rosewood Splashpad,Closed,,Closed for the season,Closed for the season,None,Splash Pad,512-974-9332,"2300 Rosewood Ave
Austin, TX
(30.271339, -97.713836)",Rosewood Splash Pad (http://www.austintexas.gov/department/rosewood-splash-pad)
Civitan,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-386-5743,"513 Vargas Rd
Austin, TX
(30.237021979000076, -97.69142730499999)",Civitan Pool (http://www.austintexas.gov/department/civitan-pool)
Murchison,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-241-0618,"7022 Hart Ln
Austin, TX
(30.35336556900006, -97.75870788799995)",Murchison Pool (http://www.austintexas.gov/department/murchison-pool)
Balcones,Closed,,Closed for the season,Closed for the season,NA,Neighborhood,512-821-2053,"12017 Amherst Dr
Austin, TX
(30.41340406100005, -97.72085543099996)",http://www.austintexas.gov/department/balcones-pool
Eastwoods Splashpad,Closed,,Closed for the season,Closed for the season,None,Splash Pad,512-974-9332,"3001 Harris Park Blvd
Austin, TX
(30.291143504000047, -97.73212589899998)",Eastwoods Splash Pad (http://www.austintexas.gov/department/eastwoods-splash-pad)
Garrison,Closed,,Closed for the season,Closed for the season,NA,Regional,512-442-4048,"6001 Menchaca Rd
Austin, TX
(30.212930071000073, -97.80184931899998)",http://www.austintexas.gov/department/garrison-pool
